Time,Temperature,Humidity,Pressure,VOC,PM1.0,PM2.5,PM10
2022-09-13 10:15:07.219,72.752,51.5634765625,0.9879600373,94,0,1,1
2022-09-13 10:15:12.403,72.77,51.5634765625,0.9876583703,94,1,1,1
2022-09-13 10:15:17.108,72.77,51.576171875,0.9873799886000001,94,1,1,1
2022-09-13 10:15:22.121,72.788,51.6328125,0.987140891,94,0,1,1
2022-09-13 10:15:27.125,72.788,51.5419921875,0.9872035761000001,95,1,1,1
2022-09-13 10:15:32.074,72.806,51.509765625,0.9868191772,95,1,1,1
2022-09-13 10:15:37.075,72.806,51.54296875,0.9868191772,95,0,0,0
2022-09-13 10:15:42.117,72.806,51.5107421875,0.9866425719,96,0,0,0
2022-09-13 10:15:47.139,72.806,51.4091796875,0.9866112293,96,0,0,0
2022-09-13 10:15:52.073,72.824,51.5,0.9863718619,96,1,1,1
2022-09-13 10:15:57.073,72.824,51.4892578125,0.9863718619,96,0,0,0
2022-09-13 10:16:02.074,72.824,51.455078125,0.9861951409,97,0,0,0
2022-09-13 10:16:07.099,72.842,51.4443359375,0.9857081174000001,97,1,1,1
2022-09-13 10:16:12.126,72.86,51.298828125,0.9855938117,97,1,1,1
2022-09-13 10:16:17.073,72.842,51.421875,0.9856767749,98,0,1,1
2022-09-13 10:16:22.082,72.86,51.45703125,0.9852914893,98,0,0,0
2022-09-13 10:16:27.099,72.86,50.904296875,0.9853228319,98,0,0,0
2022-09-13 10:16:32.103,72.86,51.3447265625,0.9855311266000001,98,0,1,1
2022-09-13 10:16:37.074,72.86,51.3896484375,0.9855311266000001,97,0,0,0
2022-09-13 10:16:42.072,72.878,51.5263671875,0.9848746299000001,97,0,0,0
2022-09-13 10:16:47.110,72.878,51.3681640625,0.9849059724,97,0,0,0
2022-09-13 10:16:52.108,72.878,51.3681640625,0.9850517749000001,97,0,0,0
2022-09-13 10:16:57.116,72.878,51.3564453125,0.9850830789,97,0,0,0
2022-09-13 10:17:02.074,72.878,51.333984375,0.9851770679,97,0,0,0
2022-09-13 10:17:07.073,72.896,51.3466796875,0.9846974463,97,0,1,1
2022-09-13 10:17:12.079,72.878,51.3564453125,0.9851144214,98,0,1,1
2022-09-13 10:17:17.096,72.896,51.7529296875,0.9846661424,98,0,1,1
2022-09-13 10:17:22.071,72.914,51.75390625,0.9842721826,98,0,0,0
2022-09-13 10:17:27.073,72.95,51.5078125,0.9833117058,98,0,1,1
2022-09-13 10:17:32.071,72.95,51.236328125,0.9833743523,98,0,1,1
2022-09-13 10:17:37.095,72.95,51.361328125,0.9831027557,98,0,1,1
2022-09-13 10:17:42.112,72.95,51.2822265625,0.9831654022,99,0,0,0
2022-09-13 10:17:47.074,72.968,51.3408203125,0.9827786131,99,0,0,0
2022-09-13 10:17:52.071,73.004,51.2626953125,0.9820490223,100,0,0,0
2022-09-13 10:17:57.099,73.058,51.32421875,0.9805743045,100,0,0,0
2022-09-13 10:18:02.095,73.13,51.4287109375,0.9790652757,100,0,0,0
2022-09-13 10:18:07.069,73.166,51.0927734375,0.9784344930000001,100,0,1,1
2022-09-13 10:18:12.071,73.166,51.1259765625,0.9783093542,100,1,1,1
2022-09-13 10:18:17.077,73.436,53.84375,0.9715615748,101,1,1,1
2022-09-13 10:18:22.129,73.652,51.7109375,0.9666957732,101,0,1,1
2022-09-13 10:18:27.103,,52.7607421875,0.9626055931,102,0,0,0
2022-09-13 10:18:32.071,,51.04296875,0.9581800904000001,102,1,1,1
2022-09-13 10:18:37.077,,51.1962890625,0.9559155641,102,1,1,1
2022-09-13 10:18:42.096,,51.0380859375,0.9513288382,102,0,0,0
2022-09-13 10:18:47.129,,49.890625,0.9488898655,102,0,0,0
2022-09-13 10:18:52.069,74.462,49.7265625,0.9468815923,102,0,0,0
2022-09-13 10:18:57.074,74.534,49.4033203125,0.9447130983,102,1,2,2
2022-09-13 10:19:02.081,74.624,49.78125,0.9426555561000001,101,1,1,1
2022-09-13 10:19:07.095,74.696,49.265625,0.9407171771,101,0,0,0
2022-09-13 10:19:12.117,74.768,49.0322265625,0.9388483068000001,101,1,1,1
2022-09-13 10:19:17.111,74.786,48.86328125,0.9385651061,101,1,1,1
2022-09-13 10:19:22.074,74.75,48.7939453125,0.939551027,100,1,1,1
2022-09-13 10:19:27.109,74.696,48.80078125,0.9407515652,100,0,0,0
2022-09-13 10:19:32.101,74.624,48.8759765625,0.9426555561000001,100,0,0,0
2022-09-13 10:19:37.147,74.642,48.93359375,0.9422067373,100,0,0,0
2022-09-13 10:19:42.071,74.714,49.005859375,0.9404344004,100,0,0,0
2022-09-13 10:19:47.072,74.822,48.8203125,0.9375867028,100,0,0,0
2022-09-13 10:19:52.112,74.858,48.640625,0.9366298884,100,0,0,0
2022-09-13 10:19:57.068,74.93,48.587890625,0.9350680437000001,100,1,1,1
2022-09-13 10:20:02.072,74.984,48.568359375,0.9336637599000001,100,1,1,1
2022-09-13 10:20:07.087,75.02,48.7294921875,0.9328353612,100,0,0,0
2022-09-13 10:20:12.098,74.966,48.431640625,0.9341791189,99,0,1,1
2022-09-13 10:20:17.123,74.912,48.41796875,0.9353211741,99,0,0,0
2022-09-13 10:20:22.089,74.912,50.1396484375,0.93529014,98,0,0,0
2022-09-13 10:20:27.069,74.84,48.8662109375,0.9372592447,98,0,0,0
2022-09-13 10:20:32.094,74.804,48.705078125,0.9380605030000001,98,0,0,0
2022-09-13 10:20:37.125,74.768,48.6806640625,0.9389763755,98,0,0,0
2022-09-13 10:20:42.093,74.696,48.69921875,0.9408757016,98,0,0,0
2022-09-13 10:20:47.072,74.624,48.7626953125,0.9424579787,98,0,0,0
2022-09-13 10:20:52.069,74.57,48.8046875,0.9438569809,98,0,0,0
2022-09-13 10:20:57.072,74.534,48.8134765625,0.9449947955,98,0,0,0
2022-09-13 10:21:02.111,74.516,48.9365234375,0.9453715612,98,0,1,1
2022-09-13 10:21:07.073,74.48,48.98046875,0.9463502344,98,0,1,1
2022-09-13 10:21:12.070,74.408,49.033203125,0.9476639603,98,1,1,1
2022-09-13 10:21:17.072,74.39,49.099609375,0.9483906211,98,0,1,1
2022-09-13 10:21:22.138,74.354,49.189453125,0.9490150043000001,99,0,0,0
2022-09-13 10:21:27.109,74.3,49.1396484375,0.9504571459000001,99,0,0,0
2022-09-13 10:21:32.076,74.264,49.2392578125,0.9512977655,99,0,0,0
2022-09-13 10:21:37.070,74.264,49.2841796875,0.9516483161,100,0,0,0
2022-09-13 10:21:42.076,74.228,49.328125,0.9522701548,100,0,0,0
2022-09-13 10:21:47.119,74.174,49.4375,0.9535516516,100,0,0,0
2022-09-13 10:21:52.074,74.174,49.482421875,0.9538621469,100,0,0,0
2022-09-13 10:21:57.070,74.174,49.4599609375,0.9538310357,101,0,0,0
2022-09-13 10:22:02.070,74.156,49.4814453125,0.9542963160000001,101,0,0,0
2022-09-13 10:22:07.094,74.12,49.705078125,0.9552033216,103,0,0,0
2022-09-13 10:22:12.131,74.084,49.5791015625,0.9559155641,105,0,0,0
2022-09-13 10:22:17.105,74.066,49.6787109375,0.9565650444,106,0,1,1
2022-09-13 10:22:22.068,74.03,49.666015625,0.9571911624,107,0,1,1
2022-09-13 10:22:27.113,74.03,49.6318359375,0.9574385101,106,0,1,1
2022-09-13 10:22:32.139,73.994,51.1337890625,0.9581177908,108,0,0,0
2022-09-13 10:22:37.074,73.958,50.1591796875,0.9589583333,109,0,0,0
2022-09-13 10:22:42.069,73.922,49.9208984375,0.9596052307,109,0,0,0
2022-09-13 10:22:47.069,73.904,49.896484375,0.9601608377,109,0,0,0
2022-09-13 10:22:52.101,73.886,49.9287109375,0.9605686374,108,0,0,0
2022-09-13 10:22:57.125,73.886,49.89453125,0.9605062993000001,108,0,0,0
2022-09-13 10:23:02.099,73.868,49.859375,0.9612454123,107,0,0,0
2022-09-13 10:23:07.068,73.85,49.892578125,0.9617378716,106,0,1,1
2022-09-13 10:23:12.108,73.868,50.041015625,0.9610614437,106,0,1,1
2022-09-13 10:23:17.150,73.904,50.5283203125,0.9603533262,106,1,1,1
2022-09-13 10:23:22.099,74.048,50.1416015625,0.9570060757000001,105,1,1,1
2022-09-13 10:23:27.073,74.228,49.97265625,0.9522390436,104,1,1,1
2022-09-13 10:23:32.081,74.444,49.5908203125,0.9470384592000001,103,0,0,0
2022-09-13 10:23:37.096,74.606,49.3056640625,0.9429066818,102,0,0,0
2022-09-13 10:23:42.069,74.768,49.06640625,0.9387552045,102,0,0,0
2022-09-13 10:23:47.074,74.858,48.810546875,0.9366609225,101,0,1,1
2022-09-13 10:23:52.074,74.93,48.64453125,0.9351300734,100,0,0,0
2022-09-13 10:23:57.128,74.984,48.5810546875,0.9334412781,100,0,0,0
2022-09-13 10:24:02.120,75.002,48.185546875,0.9329960446000001,100,0,0,0
2022-09-13 10:24:07.111,75.02,48.333984375,0.9325196614000001,100,0,1,1
2022-09-13 10:24:12.074,75.02,48.3671875,0.932742413,99,0,1,1
2022-09-13 10:24:17.071,75.002,48.35546875,0.9329650876000001,99,0,0,0
2022-09-13 10:24:22.123,75.002,48.376953125,0.9331257325000001,98,0,1,1
2022-09-13 10:24:27.110,75.02,48.2998046875,0.9325506184000001,98,0,1,1
2022-09-13 10:24:32.070,75.038,48.2666015625,0.9322968326000001,97,0,0,0
2022-09-13 10:24:37.069,75.092,48.212890625,0.9306340211,97,0,0,0
2022-09-13 10:24:42.078,75.146,48.1142578125,0.9294464363,98,0,0,0
2022-09-13 10:24:47.137,75.218,48.0625,0.9276165032,98,0,0,0
2022-09-13 10:24:52.078,75.254,48.201171875,0.9265797712,98,0,0,0
2022-09-13 10:24:57.069,75.272,47.9404296875,0.9260072015,98,0,0,0
2022-09-13 10:25:02.069,75.272,47.9404296875,0.9259143304,98,0,0,0
2022-09-13 10:25:07.104,75.326,48.2841796875,0.9248841522000001,98,0,0,0
2022-09-13 10:25:12.128,75.38,47.822265625,0.9236272129,97,0,0,0
2022-09-13 10:25:17.069,75.398,47.7890625,0.9229517487000001,97,0,0,0
2022-09-13 10:25:22.071,75.434,47.84765625,0.9222361908000001,96,0,0,0
2022-09-13 10:25:27.073,75.47,47.4990234375,0.9213340427000001,95,0,0,0
2022-09-13 10:25:32.139,75.542,47.6845703125,0.9194872625,95,0,0,0
2022-09-13 10:25:37.125,75.614,47.5859375,0.9175748288000001,95,0,0,0
2022-09-13 10:25:42.069,75.632,47.451171875,0.9170201086,95,0,0,0
2022-09-13 10:25:47.104,75.632,47.3271484375,0.9168242274,95,0,0,0
2022-09-13 10:25:52.098,75.686,47.466796875,0.9155660159000001,95,0,0,0
2022-09-13 10:25:57.123,75.65,47.509765625,0.9166900675,95,0,0,0
2022-09-13 10:26:02.099,75.614,46.7705078125,0.9173085909,95,0,0,0
2022-09-13 10:26:07.074,75.65,47.3623046875,0.9166283077,95,0,0,0
2022-09-13 10:26:12.068,75.65,47.328125,0.9166900675,95,0,1,1
2022-09-13 10:26:17.095,75.632,47.3271484375,0.9169169057000001,95,0,1,1
2022-09-13 10:26:22.067,75.614,47.3935546875,0.9174821506,94,0,0,0
2022-09-13 10:26:27.072,75.56,47.4248046875,0.9189643474,95,0,1,1
2022-09-13 10:26:32.068,75.56,47.5498046875,0.9188307658,95,0,1,1
2022-09-13 10:26:37.096,75.56,47.2099609375,0.9187380490000001,96,0,0,0
2022-09-13 10:26:42.132,75.578,47.40234375,0.9182235381,96,0,0,0
2022-09-13 10:26:47.100,75.614,47.34765625,0.9175439489,96,0,0,0
2022-09-13 10:26:52.072,75.632,47.4296875,0.9168242274,97,0,1,1
2022-09-13 10:26:57.069,75.686,47.1943359375,0.9156586556,97,0,1,1
2022-09-13 10:27:02.098,75.704,47.330078125,0.9151955727000001,97,0,0,0
2022-09-13 10:27:07.105,75.686,47.3076171875,0.9156895355,98,0,1,1
2022-09-13 10:27:12.072,75.632,47.28125,0.9170818684,98,1,1,1
2022-09-13 10:27:17.071,75.56,47.333984375,0.9189334675,98,1,1,1
2022-09-13 10:27:22.098,75.488,47.431640625,0.9206790109,98,0,1,1
2022-09-13 10:27:27.109,75.434,47.4736328125,0.9222671092,99,0,1,1
2022-09-13 10:27:32.107,75.362,47.5712890625,0.9239141145,99,0,1,1
2022-09-13 10:27:37.074,75.272,47.6005859375,0.9259452874,100,0,0,0
2022-09-13 10:27:42.069,75.2,47.7548828125,0.9278095701,100,0,0,0
2022-09-13 10:27:47.109,75.146,47.7509765625,0.9292538320000001,100,0,0,0
2022-09-13 10:27:52.100,75.092,47.9521484375,0.9306340211,101,0,0,0
2022-09-13 10:27:57.073,75.038,48.369140625,0.9319810171,102,1,1,1
2022-09-13 10:28:02.101,74.984,48.08203125,0.9334102825,102,1,1,1
2022-09-13 10:28:07.075,74.966,48.3984375,0.9339257572,103,0,0,0
2022-09-13 10:28:12.132,74.966,48.205078125,0.9340861322,103,0,1,1
2022-09-13 10:28:17.070,75.038,48.2216796875,0.9322658756000001,103,0,1,1
2022-09-13 10:28:22.075,75.128,49.087890625,0.9299553571,104,0,0,0
2022-09-13 10:28:27.096,75.182,48.23046875,0.9285827242,104,0,0,0
2022-09-13 10:28:32.105,75.128,48.0576171875,0.9297319115,104,1,1,1
2022-09-13 10:28:37.134,75.164,48.0126953125,0.9290301937000001,104,0,1,1
2022-09-13 10:28:42.069,75.128,47.978515625,0.9297009545,103,0,0,0
2022-09-13 10:28:47.070,75.11,47.9990234375,0.9301564042,103,0,0,0
2022-09-13 10:33:52.084,75.11,47.9873046875,0.9301564042,103,0,0,0
2022-09-13 10:33:57.106,75.056,48.0185546875,0.9315265698,103,0,1,1
2022-09-13 10:34:02.093,75.038,48.07421875,0.9322658756000001,103,0,1,1
2022-09-13 10:34:07.072,75.002,47.8564453125,0.9329960446000001,103,0,0,0
2022-09-13 10:34:12.112,74.966,48.591796875,0.9338637660000001,103,0,1,1
